,date,daily_positive,mean
0,2020-12-08 17:00:00,13748.671875,
1,2020-12-09 17:00:00,13266.4541015625,
2,2020-12-10 17:00:00,12914.8779296875,
3,2020-12-11 17:00:00,12425.39453125,
4,2020-12-12 17:00:00,11408.359375,
5,2020-12-13 17:00:00,9877.0751953125,
6,2020-12-14 17:00:00,7860.341796875,11643.024972098214
7,2020-12-15 17:00:00,7978.7177734375,10818.745814732143
8,2020-12-16 17:00:00,7923.9228515625,10055.527064732143
9,2020-12-17 17:00:00,8029.5068359375,9357.616908482143
10,2020-12-18 17:00:00,8023.25,8728.73911830357
11,2020-12-19 17:00:00,7511.65234375,8172.066685267857
12,2020-12-20 17:00:00,6504.0224609375,7690.202008928572
13,2020-12-21 17:00:00,5025.06640625,7285.162667410715
14,2020-12-22 17:00:00,5691.1708984375,6958.370256696428
15,2020-12-23 17:00:00,6189.8466796875,6710.645089285715
16,2020-12-24 17:00:00,6850.44140625,6542.207170758928
17,2020-12-25 17:00:00,7396.5537109375,6452.679129464285
18,2020-12-26 17:00:00,7430.576171875,6441.096819196428
19,2020-12-27 17:00:00,6957.8154296875,6505.924386160715
20,2020-12-28 17:00:00,5999.0908203125,6645.070731026785
21,2020-12-29 17:00:00,7167.0869140625,6855.915876116072
22,2020-12-30 17:00:00,8145.796875,7135.337332589285
23,2020-12-31 17:00:00,9261.271484375,7479.741629464285
24,2021-01-01 17:00:00,10234.060546875,7885.099748883928
25,2021-01-02 17:00:00,10663.78125,8346.98618861607
26,2021-01-03 17:00:00,10553.244140625,8860.618861607143
27,2021-01-04 17:00:00,9921.0986328125,9420.905691964286
28,2021-01-05 17:00:00,11378.1689453125,10022.488839285714
29,2021-01-06 17:00:00,12606.931640625,10659.79380580357
30,2021-01-07 17:00:00,13932.26171875,11327.078125
31,2021-01-08 17:00:00,15073.87890625,12018.480747767857
32,2021-01-09 17:00:00,15630.93359375,12728.073939732143
33,2021-01-10 17:00:00,15606.115234375,13449.912667410714
34,2021-01-11 17:00:00,15018.30859375,14178.085518973214
35,2021-01-12 17:00:00,16478.912109375,14906.763113839286
36,2021-01-13 17:00:00,17671.30078125,15630.244419642857
37,2021-01-14 17:00:00,18921.5859375,16343.00502232143
38,2021-01-15 17:00:00,19951.021484375,17039.739676339286
39,2021-01-16 17:00:00,20360.572265625,17715.40234375
40,2021-01-17 17:00:00,20155.03125,18365.247488839286
41,2021-01-18 17:00:00,19355.603515625,18984.86104910714
42,2021-01-19 17:00:00,20576.25390625,19570.19559151786
43,2021-01-20 17:00:00,21503.11328125,20117.59737723214
44,2021-01-21 17:00:00,22465.203125,20623.82840401786
45,2021-01-22 17:00:00,23186.8515625,21086.08984375
46,2021-01-23 17:00:00,23272.1875,21502.03487723214
47,2021-01-24 17:00:00,22729.25390625,21869.78097098214
48,2021-01-25 17:00:00,21582.5625,22187.91796875
49,2021-01-26 17:00:00,22449.3984375,22455.51004464286
50,2021-01-27 17:00:00,23019.197265625,22672.09347098214
51,2021-01-28 17:00:00,23624.26171875,22837.673270089286
52,2021-01-29 17:00:00,23992.107421875,22952.709821428572
53,2021-01-30 17:00:00,23729.974609375,23018.107979910714
54,2021-01-31 17:00:00,22848.8828125,23035.197823660714
55,2021-02-01 17:00:00,21376.1796875,23005.71456473214
56,2021-02-02 17:00:00,21931.802734375,22931.772321428572
57,2021-02-03 17:00:00,22207.66015625,22815.838448660714
58,2021-02-04 17:00:00,22538.298828125,22660.70089285714
59,2021-02-05 17:00:00,22653.265625,22469.43777901786
60,2021-02-06 17:00:00,22161.576171875,22245.380859375
61,2021-02-07 17:00:00,21075.775390625,21992.07979910714
62,2021-02-08 17:00:00,19424.46875,21713.26395089286
63,2021-02-09 17:00:00,19828.580078125,21412.803571428572
64,2021-02-10 17:00:00,19980.724609375,21094.669921875
65,2021-02-11 17:00:00,20215.88671875,20762.89676339286
66,2021-02-12 17:00:00,20263.759765625,20421.53878348214
67,2021-02-13 17:00:00,19733.25390625,20074.635602678572
68,2021-02-14 17:00:00,18636.529296875,19726.171875
69,2021-02-15 17:00:00,17001.544921875,19380.039899553572
70,2021-02-16 17:00:00,17448.345703125,19040.006417410714
71,2021-02-17 17:00:00,17668.42578125,18709.67801339286
72,2021-02-18 17:00:00,17995.431640625,18392.470145089286
73,2021-02-19 17:00:00,18157.533203125,18091.580636160714
74,2021-02-20 17:00:00,17761.916015625,17809.9609375
75,2021-02-21 17:00:00,16818.861328125,17550.294084821428
76,2021-02-22 17:00:00,15354.318359375,17314.976004464286
77,2021-02-23 17:00:00,15986.19140625,17106.096819196428
78,2021-02-24 17:00:00,16403.755859375,16925.4296875
79,2021-02-25 17:00:00,16938.357421875,16774.419084821428
80,2021-02-26 17:00:00,17315.822265625,16654.174665178572
81,2021-02-27 17:00:00,17140.970703125,16565.468191964286
82,2021-02-28 17:00:00,16421.724609375,16508.734375
83,2021-03-01 17:00:00,15181.693359375,16484.073660714286
84,2021-03-02 17:00:00,16036.494140625,16491.259765625
85,2021-03-03 17:00:00,16673.171875,16529.74776785714
86,2021-03-04 17:00:00,17420.9453125,16598.688895089286
87,2021-03-05 17:00:00,18003.623046875,16696.946149553572
88,2021-03-06 17:00:00,18024.12890625,16823.11160714286
89,2021-03-07 17:00:00,17488.630859375,16975.526785714286
90,2021-03-08 17:00:00,16419.146484375,17152.305803571428
91,2021-03-09 17:00:00,17429.865234375,17351.358816964286
92,2021-03-10 17:00:00,18206.59375,17570.419084821428
93,2021-03-11 17:00:00,19077.501953125,17807.07003348214
